1	2.9534
2	2.9584
3	2.9566
4	2.9666
5	2.9692
6	2.9695
7	2.9833
8	2.9807
9	2.9921
10	2.9949
11	2.9996
12	3.0085
13	3.0044
14	3.0079
15	3.0160
16	3.0250
17	3.0213
18	3.0292
19	3.0344
20	3.0407
21	3.0476
22	3.0488
23	3.0940
24	3.1019
25	3.1104
26	3.1106
27	3.1173
28	3.1198
29	3.1283
30	3.1293
31	3.1342
32	3.1401
33	3.1359
34	3.1412
35	3.1453
36	3.1503
37	3.1521
38	3.1500
39	3.1594
40	3.1673
41	3.1705
42	3.1730
43	3.1707
44	3.1749
45	3.1808
46	3.1806
47	3.1859
48	3.1903
49	3.1911
50	3.1914
51	3.1990
52	3.2037
53	3.2042
54	3.2091
55	3.2122
56	3.2125
57	3.2158
58	3.2146
59	3.2173
60	3.2228
61	3.2239
62	3.2254
63	3.2310
64	3.2363
65	3.2338
66	3.2381
67	3.2436
68	3.2413
69	3.2467
70	3.2473
71	3.2483
72	3.2495
73	3.2521
74	3.2527
75	3.2583
76	3.2615
77	3.2620
78	3.2638
79	3.2688
80	3.2687
81	3.2713
82	3.2749
83	3.2790
84	3.2807
85	3.2822
86	3.2890
87	3.2915
88	3.2912
89	3.2955
90	3.2951
91	3.2974
92	3.3044
93	3.3041
94	3.3068
95	3.3099
96	3.3121
97	3.3111
98	3.3142
99	3.3127
100	3.3113
101	3.3157
102	3.3121
103	3.3173
104	3.3181
105	3.3244
106	3.3283
107	3.3335
108	3.3349
109	3.3354
110	3.3396
111	3.3439
112	3.3435
113	3.3447
114	3.3442
115	3.3457
116	3.3451
117	3.3505
118	3.3478
119	3.3535
120	3.3532
121	3.3532
122	3.3551
123	3.3529
124	3.3571
125	3.3593
126	3.3597
127	3.3550
128	3.3620
129	3.3625
130	3.3577
131	3.3663
132	3.3622
133	3.3650
134	3.3671
135	3.3652
136	3.3658
137	3.3716
138	3.3703
139	3.3713
140	3.3705
141	3.3742
142	3.3743
143	3.3693
144	3.3716
145	3.3712
146	3.3755
147	3.3772
148	3.3771
149	3.3731
150	3.3809
151	3.3797
152	3.3802
153	3.3855
154	3.3826
155	3.3914
156	3.3843
157	3.3868
158	3.3911
159	3.3911
160	3.3944
161	3.3887
162	3.3913
163	3.3930
164	3.3932
165	3.3938
166	3.3962
167	3.3961
168	3.3976
169	3.4001
170	3.4002
171	3.4022
172	3.4018
173	3.3992
174	3.4000
175	3.4000
176	3.4034
177	3.4049
178	3.4090
179	3.4096
180	3.4058
181	3.4097
182	3.4130
183	3.4117
184	3.4114
185	3.4166
186	3.4171
187	3.4158
188	3.4173
189	3.4192
190	3.4215
191	3.4207
192	3.4238
193	3.4234
194	3.4256
195	3.4275
196	3.4293
197	3.4279
198	3.4298
199	3.4261
200	3.4247
201	3.4279
202	3.4261
203	3.4238
204	3.4243
205	3.4282
206	3.4279
207	3.4309
208	3.4277
209	3.4312
210	3.4300
211	3.4313
212	3.4318
213	3.4295
214	3.4325
215	3.4331
216	3.4358
217	3.4337
218	3.4362
219	3.4366
220	3.4407
221	3.4416
222	3.4424
223	3.4419
224	3.4494
225	3.4457
226	3.4484
227	3.4455
228	3.4489
